Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Jordan Walsh (42150995),Jordan Walsh,42150995,PF/F/UTIL,3400,BOS@MIL 03/02/2026 07:30PM ET,BOS,14.3
C,Luka Garza (42151003),Luka Garza,42151003,C/UTIL,3300,BOS@MIL 03/02/2026 07:30PM ET,BOS,15.3
SF/PF,Sam Hauser (42150877),Sam Hauser,42150877,SF/PF/F/UTIL,4800,BOS@MIL 03/02/2026 07:30PM ET,BOS,18.99
C,Neemias Queta (42150866),Neemias Queta,42150866,C/UTIL,5200,BOS@MIL 03/02/2026 07:30PM ET,BOS,26.96
PG/SG,Payton Pritchard (42150763),Payton Pritchard,42150763,PG/SG/G/UTIL,7200,BOS@MIL 03/02/2026 07:30PM ET,BOS,32.67
C,Nikola Vucevic (42150803),Nikola Vucevic,42150803,C/UTIL,6200,BOS@MIL 03/02/2026 07:30PM ET,BOS,35.74
PG,Derrick White (42150739),Derrick White,42150739,PG/G/UTIL,8200,BOS@MIL 03/02/2026 07:30PM ET,BOS,37.31
SG/SF,Jaylen Brown (42150706),Jaylen Brown,42150706,SG/SF/F/G/UTIL,9700,BOS@MIL 03/02/2026 07:30PM ET,BOS,46.78
PF,Spencer Jones (42150963),Spencer Jones,42150963,PF/F/UTIL,3800,DEN@UTA 03/02/2026 09:00PM ET,DEN,13.87
C,Jonas Valanciunas (42150988),Jonas Valanciunas,42150988,C/UTIL,3500,DEN@UTA 03/02/2026 09:00PM ET,DEN,18.34
PG/SG,Bruce Brown (42150913),Bruce Brown,42150913,PG/SG/G/UTIL,4300,DEN@UTA 03/02/2026 09:00PM ET,DEN,18.38
SF/PF,Tim Hardaway Jr. (42150893),Tim Hardaway Jr.,42150893,SF/PF/F/UTIL,4600,DEN@UTA 03/02/2026 09:00PM ET,DEN,21.75
SF/PF,Cameron Johnson (42150849),Cameron Johnson,42150849,SF/PF/F/UTIL,5500,DEN@UTA 03/02/2026 09:00PM ET,DEN,21.85
SG,Christian Braun (42150860),Christian Braun,42150860,SG/G/UTIL,5400,DEN@UTA 03/02/2026 09:00PM ET,DEN,22.62
SF,Peyton Watson (42150779),Peyton Watson,42150779,SF/F/UTIL,6800,DEN@UTA 03/02/2026 09:00PM ET,DEN,28.34
PF/C,Aaron Gordon (42150785),Aaron Gordon,42150785,PF/C/F/UTIL,6600,DEN@UTA 03/02/2026 09:00PM ET,DEN,31.48
PG,Jamal Murray (42150726),Jamal Murray,42150726,PG/G/UTIL,8800,DEN@UTA 03/02/2026 09:00PM ET,DEN,44.16
C,Nikola Jokic (42150701),Nikola Jokic,42150701,C/UTIL,12500,DEN@UTA 03/02/2026 09:00PM ET,DEN,65.11
SG/SF,Gary Payton II (42150920),Gary Payton II,42150920,SG/SF/F/G/UTIL,4300,LAC@GSW 03/02/2026 10:00PM ET,GSW,14.12
PG,Seth Curry (42151129),Seth Curry,42151129,PG/G/UTIL,3000,LAC@GSW 03/02/2026 10:00PM ET,GSW,14.25
SG/SF,Will Richard (42150925),Will Richard,42150925,SG/SF/F/G/UTIL,4200,LAC@GSW 03/02/2026 10:00PM ET,GSW,15.06
PF,Gui Santos (42150800),Gui Santos,42150800,PF/F/UTIL,6300,LAC@GSW 03/02/2026 10:00PM ET,GSW,15.63
PG,Pat Spencer (42150853),Pat Spencer,42150853,PG/G/UTIL,5400,LAC@GSW 03/02/2026 10:00PM ET,GSW,15.63
C,Quinten Post (42150941),Quinten Post,42150941,C/UTIL,4100,LAC@GSW 03/02/2026 10:00PM ET,GSW,16.87
PF/C,Al Horford (42150834),Al Horford,42150834,PF/C/F/UTIL,5600,LAC@GSW 03/02/2026 10:00PM ET,GSW,21.95
SF,Moses Moody (42150797),Moses Moody,42150797,SF/F/UTIL,6300,LAC@GSW 03/02/2026 10:00PM ET,GSW,22.34
PG/SG,De'Anthony Melton (42150812),De'Anthony Melton,42150812,PG/SG/G/UTIL,6000,LAC@GSW 03/02/2026 10:00PM ET,GSW,23.47
PF/C,Draymond Green (42150845),Draymond Green,42150845,PF/C/F/UTIL,5500,LAC@GSW 03/02/2026 10:00PM ET,GSW,25.62
PG/SG,Brandin Podziemski (42150767),Brandin Podziemski,42150767,PG/SG/G/UTIL,7100,LAC@GSW 03/02/2026 10:00PM ET,GSW,26.88
PF/C,Kristaps Porzingis (42150822),Kristaps Porzingis,42150822,PF/C/F/UTIL,5800,LAC@GSW 03/02/2026 10:00PM ET,GSW,30.92
PF,Jimmy Butler (42151072),Jimmy Butler,42151072,PF/F/UTIL,3000,LAC@GSW 03/02/2026 10:00PM ET,GSW,37.31
PG,Stephen Curry (42150720),Stephen Curry,42150720,PG/G/UTIL,9000,LAC@GSW 03/02/2026 10:00PM ET,GSW,42.91
C,Steven Adams (42151078),Steven Adams,42151078,C/UTIL,3000,HOU@WAS 03/02/2026 07:00PM ET,HOU,21.09
PG/SG,Reed Sheppard (42150838),Reed Sheppard,42150838,PG/SG/G/UTIL,5700,HOU@WAS 03/02/2026 07:00PM ET,HOU,25.56
SG,Tari Eason (42150794),Tari Eason,42150794,SG/G/UTIL,6400,HOU@WAS 03/02/2026 07:00PM ET,HOU,26.08
PF,Jabari Smith Jr. (42150782),Jabari Smith Jr.,42150782,PF/F/UTIL,6700,HOU@WAS 03/02/2026 07:00PM ET,HOU,31.1
PG,Amen Thompson (42150748),Amen Thompson,42150748,PG/G/UTIL,7900,HOU@WAS 03/02/2026 07:00PM ET,HOU,38.15
SF,Kevin Durant (42150723),Kevin Durant,42150723,SF/F/UTIL,8900,HOU@WAS 03/02/2026 07:00PM ET,HOU,42.02
PF/C,Alperen Sengun (42150716),Alperen Sengun,42150716,PF/C/F/UTIL,9400,HOU@WAS 03/02/2026 07:00PM ET,HOU,44.15
SG/SF,Kobe Sanders (42150948),Kobe Sanders,42150948,SG/SF/F/G/UTIL,4000,LAC@GSW 03/02/2026 10:00PM ET,LAC,13.83
C,Isaiah Jackson (42151063),Isaiah Jackson,42151063,C/UTIL,3000,LAC@GSW 03/02/2026 10:00PM ET,LAC,16.21
C,Brook Lopez (42150868),Brook Lopez,42150868,C/UTIL,5000,LAC@GSW 03/02/2026 10:00PM ET,LAC,16.29
PG/SG,Bogdan Bogdanovic (42151025),Bogdan Bogdanovic,42151025,PG/SG/G/UTIL,3200,LAC@GSW 03/02/2026 10:00PM ET,LAC,16.6
PG/SG,Jordan Miller (42150889),Jordan Miller,42150889,PG/SG/G/UTIL,4700,LAC@GSW 03/02/2026 10:00PM ET,LAC,17.54
SF/PF,Derrick Jones Jr. (42150856),Derrick Jones Jr.,42150856,SF/PF/F/UTIL,5300,LAC@GSW 03/02/2026 10:00PM ET,LAC,20.23
PG,Kris Dunn (42150826),Kris Dunn,42150826,PG/G/UTIL,5600,LAC@GSW 03/02/2026 10:00PM ET,LAC,20.25
PF/C,John Collins (42150808),John Collins,42150808,PF/C/F/UTIL,6100,LAC@GSW 03/02/2026 10:00PM ET,LAC,25.05
SG/SF,Bennedict Mathurin (42150774),Bennedict Mathurin,42150774,SG/SF/F/G/UTIL,6900,LAC@GSW 03/02/2026 10:00PM ET,LAC,30.22
PG,Darius Garland (42150771),Darius Garland,42150771,PG/G/UTIL,7000,LAC@GSW 03/02/2026 10:00PM ET,LAC,33.18
SG/SF,Kawhi Leonard (42150711),Kawhi Leonard,42150711,SG/SF/F/G/UTIL,9500,LAC@GSW 03/02/2026 10:00PM ET,LAC,46.07
SG/SF,AJ Green (42150899),AJ Green,42150899,SG/SF/F/G/UTIL,4500,BOS@MIL 03/02/2026 07:30PM ET,MIL,18.9
PG/SG,Cam Thomas (42150937),Cam Thomas,42150937,PG/SG/G/UTIL,4200,BOS@MIL 03/02/2026 07:30PM ET,MIL,21.82
PF,Kyle Kuzma (42150842),Kyle Kuzma,42150842,PF/F/UTIL,5400,BOS@MIL 03/02/2026 07:30PM ET,MIL,24.66
PF/C,Bobby Portis (42150818),Bobby Portis,42150818,PF/C/F/UTIL,5700,BOS@MIL 03/02/2026 07:30PM ET,MIL,25.76
C,Myles Turner (42150816),Myles Turner,42150816,C/UTIL,5900,BOS@MIL 03/02/2026 07:30PM ET,MIL,27.17
PG,Ryan Rollins (42150754),Ryan Rollins,42150754,PG/G/UTIL,7700,BOS@MIL 03/02/2026 07:30PM ET,MIL,34.75
PG/SG,Kevin Porter Jr. (42150729),Kevin Porter Jr.,42150729,PG/SG/G/UTIL,8700,BOS@MIL 03/02/2026 07:30PM ET,MIL,40.67
PF,Giannis Antetokounmpo (42150703),Giannis Antetokounmpo,42150703,PF/F/UTIL,11000,BOS@MIL 03/02/2026 07:30PM ET,MIL,51.61
PF,Blake Hinson (42150992),Blake Hinson,42150992,PF/F/UTIL,3500,DEN@UTA 03/02/2026 09:00PM ET,UTA,13.75
SG/SF,Svi Mykhailiuk (42151052),Svi Mykhailiuk,42151052,SG/SF/F/G/UTIL,3000,DEN@UTA 03/02/2026 09:00PM ET,UTA,16.5
C,Kevin Love (42150953),Kevin Love,42150953,C/UTIL,4000,DEN@UTA 03/02/2026 09:00PM ET,UTA,18.48
PG,Vince Williams Jr. (42151065),Vince Williams Jr.,42151065,PG/G/UTIL,3000,DEN@UTA 03/02/2026 09:00PM ET,UTA,20.67
SG/SF,Brice Sensabaugh (42150829),Brice Sensabaugh,42150829,SG/SF/F/G/UTIL,5800,DEN@UTA 03/02/2026 09:00PM ET,UTA,20.69
SF,Ace Bailey (42150805),Ace Bailey,42150805,SF/F/UTIL,6200,DEN@UTA 03/02/2026 09:00PM ET,UTA,22.34
PF/C,Kyle Filipowski (42150759),Kyle Filipowski,42150759,PF/C/F/UTIL,7400,DEN@UTA 03/02/2026 09:00PM ET,UTA,23.93
PG,Isaiah Collier (42150742),Isaiah Collier,42150742,PG/G/UTIL,8100,DEN@UTA 03/02/2026 09:00PM ET,UTA,27.16
C,Jaren Jackson Jr. (42151050),Jaren Jackson Jr.,42151050,C/UTIL,3000,DEN@UTA 03/02/2026 09:00PM ET,UTA,34.35
C,Jusuf Nurkic (42151061),Jusuf Nurkic,42151061,C/UTIL,3000,DEN@UTA 03/02/2026 09:00PM ET,UTA,34.52
C,Walker Kessler (42151118),Walker Kessler,42151118,C/UTIL,3000,DEN@UTA 03/02/2026 09:00PM ET,UTA,38.4
PG,Keyonte George (42150751),Keyonte George,42150751,PG/G/UTIL,7800,DEN@UTA 03/02/2026 09:00PM ET,UTA,40.6
PF,Lauri Markkanen (42150736),Lauri Markkanen,42150736,PF/F/UTIL,8400,DEN@UTA 03/02/2026 09:00PM ET,UTA,42.32
SG/SF,Jamir Watkins (42150943),Jamir Watkins,42150943,SG/SF/F/G/UTIL,4100,HOU@WAS 03/02/2026 07:00PM ET,WAS,14.23
SF/PF,Will Riley (42150870),Will Riley,42150870,SF/PF/F/UTIL,5100,HOU@WAS 03/02/2026 07:00PM ET,WAS,14.44
C,Tristan Vukcevic (42150897),Tristan Vukcevic,42150897,C/UTIL,4600,HOU@WAS 03/02/2026 07:00PM ET,WAS,15.3
SF,Cam Whitmore (42151093),Cam Whitmore,42151093,SF/F/UTIL,3000,HOU@WAS 03/02/2026 07:00PM ET,WAS,15.86
SF/PF,Leaky Black (42151046),Leaky Black,42151046,SF/PF/F/UTIL,3100,HOU@WAS 03/02/2026 07:00PM ET,WAS,16.75
PF,Justin Champagnie (42150874),Justin Champagnie,42150874,PF/F/UTIL,4900,HOU@WAS 03/02/2026 07:00PM ET,WAS,19.57
PG,D'Angelo Russell (42151085),D'Angelo Russell,42151085,PG/G/UTIL,3000,HOU@WAS 03/02/2026 07:00PM ET,WAS,19.91
PG/SG,Tre Johnson (42150885),Tre Johnson,42150885,PG/SG/G/UTIL,4700,HOU@WAS 03/02/2026 07:00PM ET,WAS,21.25
PG,Bub Carrington (42150863),Bub Carrington,42150863,PG/G/UTIL,5300,HOU@WAS 03/02/2026 07:00PM ET,WAS,22.9
SF/PF,Bilal Coulibaly (42150881),Bilal Coulibaly,42150881,SF/PF/F/UTIL,4800,HOU@WAS 03/02/2026 07:00PM ET,WAS,24.07
SG/SF,Kyshawn George (42150789),Kyshawn George,42150789,SG/SF/F/G/UTIL,6500,HOU@WAS 03/02/2026 07:00PM ET,WAS,31.64
PG,Trae Young (42150733),Trae Young,42150733,PG/G/UTIL,8600,HOU@WAS 03/02/2026 07:00PM ET,WAS,36.78
C,Alexandre Sarr (42150757),Alexandre Sarr,42150757,C/UTIL,7500,HOU@WAS 03/02/2026 07:00PM ET,WAS,36.84
C,Anthony Davis (42151096),Anthony Davis,42151096,C/UTIL,3000,HOU@WAS 03/02/2026 07:00PM ET,WAS,44.06
