Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
5043411105,NFL $400K Play-Action [20 Entry Max],187209830,$3,Caleb Williams (41519687),James Cook III (41519711),RJ Harvey (41519715),Davante Adams (41519819),Brandin Cooks (41519849),DJ Moore (41519829),Colby Parkinson (41519975),Christian McCaffrey (41519709),49ers (41520058),,1. Column A lists all of your contest entries for this draftgroup
5043482021,NFL $75K First Down [20 Entry Max],187222970,$1,Caleb Williams (41519687),James Cook III (41519711),Christian McCaffrey (41519709),Jauan Jennings (41519825),Christian Kirk (41519847),Rashid Shaheed (41519845),Dalton Schultz (41519973),RJ Harvey (41519715),Seahawks (41520053),,2. Your current lineup is listed next to each entry (blank for reservations)
5042055170,$2K T-Mobile Game Day Draft Challenge,187262641,$0,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,,WR,Puka Nacua (41519813),Puka Nacua,41519813,WR/FLEX,9000,LAR@CHI 01/18/2026 06:30PM ET,LAR,25.38
,,,,,,,,,,,,,,RB,Christian McCaffrey (41519709),Christian McCaffrey,41519709,RB/FLEX,8800,SF@SEA 01/17/2026 08:00PM ET,SF,25.44
,,,,,,,,,,,,,,WR,Jaxon Smith-Njigba (41519815),Jaxon Smith-Njigba,41519815,WR/FLEX,8500,SF@SEA 01/17/2026 08:00PM ET,SEA,22.82
,,,,,,,,,,,,,,RB,James Cook III (41519711),James Cook III,41519711,RB/FLEX,7300,BUF@DEN 01/17/2026 04:30PM ET,BUF,18.85
,,,,,,,,,,,,,,QB,Josh Allen (41519684),Josh Allen,41519684,QB,7100,BUF@DEN 01/17/2026 04:30PM ET,BUF,23.16
,,,,,,,,,,,,,,WR,Nico Collins (41519817),Nico Collins,41519817,WR/FLEX,7000,HOU@NE 01/18/2026 03:00PM ET,HOU,15.08
,,,,,,,,,,,,,,QB,Matthew Stafford (41519685),Matthew Stafford,41519685,QB,6600,LAR@CHI 01/18/2026 06:30PM ET,LAR,22.20
,,,,,,,,,,,,,,RB,Kyren Williams (41519713),Kyren Williams,41519713,RB/FLEX,6600,LAR@CHI 01/18/2026 06:30PM ET,LAR,15.77
,,,,,,,,,,,,,,WR,Davante Adams (41519819),Davante Adams,41519819,WR/FLEX,6500,LAR@CHI 01/18/2026 06:30PM ET,LAR,15.87
,,,,,,,,,,,,,,QB,Drake Maye (41519686),Drake Maye,41519686,QB,6300,HOU@NE 01/18/2026 03:00PM ET,NE,21.40
