Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (42009554),Nikola Jokic,42009554,C/UTIL,12200,MEM@DEN 02/11/2026 09:00PM ET,DEN,66.53
PG,Jamal Murray (42009564),Jamal Murray,42009564,PG/G/UTIL,8900,MEM@DEN 02/11/2026 09:00PM ET,DEN,46.23
PF/C,Aaron Gordon (42009631),Aaron Gordon,42009631,PF/C/F/UTIL,6700,MEM@DEN 02/11/2026 09:00PM ET,DEN,31.48
SF/PF,Cameron Johnson (42009709),Cameron Johnson,42009709,SF/PF/F/UTIL,5500,MEM@DEN 02/11/2026 09:00PM ET,DEN,22.02
SG,Christian Braun (42009738),Christian Braun,42009738,SG/G/UTIL,5200,MEM@DEN 02/11/2026 09:00PM ET,DEN,20.49
SG/SF,Julian Strawther (42009782),Julian Strawther,42009782,SG/SF/F/G/UTIL,4500,MEM@DEN 02/11/2026 09:00PM ET,DEN,11.18
PF,Chet Holmgren (42009567),Chet Holmgren,42009567,PF/F/UTIL,8800,OKC@PHX 02/11/2026 09:00PM ET,OKC,36.24
SF,Jalen Williams (42009579),Jalen Williams,42009579,SF/F/UTIL,8200,OKC@PHX 02/11/2026 09:00PM ET,OKC,33.89
C,Isaiah Hartenstein (42009647),Isaiah Hartenstein,42009647,C/UTIL,6100,OKC@PHX 02/11/2026 09:00PM ET,OKC,31.26
SG/SF,Cason Wallace (42009658),Cason Wallace,42009658,SG/SF/F/G/UTIL,5900,OKC@PHX 02/11/2026 09:00PM ET,OKC,20.38
SG,Luguentz Dort (42009797),Luguentz Dort,42009797,SG/G/UTIL,4400,OKC@PHX 02/11/2026 09:00PM ET,OKC,18.74
SF,Dillon Brooks (42009625),Dillon Brooks,42009625,SF/F/UTIL,6800,OKC@PHX 02/11/2026 09:00PM ET,PHX,31.07
PG,Collin Gillespie (42009622),Collin Gillespie,42009622,PG/G/UTIL,6800,OKC@PHX 02/11/2026 09:00PM ET,PHX,29.72
C,Mark Williams (42009643),Mark Williams,42009643,C/UTIL,6300,OKC@PHX 02/11/2026 09:00PM ET,PHX,27.97
SF/PF,Royce O'Neale (42009670),Royce O'Neale,42009670,SF/PF/F/UTIL,5800,OKC@PHX 02/11/2026 09:00PM ET,PHX,24.45
SG/SF,Jordan Goodwin (42009701),Jordan Goodwin,42009701,SG/SF/F/G/UTIL,5500,OKC@PHX 02/11/2026 09:00PM ET,PHX,21.76
SF/PF,DeMar DeRozan (42009610),DeMar DeRozan,42009610,SF/PF/F/UTIL,7000,SAC@UTA 02/11/2026 09:00PM ET,SAC,31.02
C,Maxime Raynaud (42009752),Maxime Raynaud,42009752,C/UTIL,5000,SAC@UTA 02/11/2026 09:00PM ET,SAC,21.56
PF,Precious Achiuwa (42009814),Precious Achiuwa,42009814,PF/F/UTIL,4200,SAC@UTA 02/11/2026 09:00PM ET,SAC,18.36
SG/SF,Nique Clifford (42009691),Nique Clifford,42009691,SG/SF/F/G/UTIL,5500,SAC@UTA 02/11/2026 09:00PM ET,SAC,14.52
PG/SG,Devin Carter (42009789),Devin Carter,42009789,PG/SG/G/UTIL,4500,SAC@UTA 02/11/2026 09:00PM ET,SAC,12.12
SF/PF,Lauri Markkanen (42009582),Lauri Markkanen,42009582,SF/PF/F/UTIL,8000,SAC@UTA 02/11/2026 09:00PM ET,UTA,42.58
C,Jusuf Nurkic (42009617),Jusuf Nurkic,42009617,C/UTIL,6900,SAC@UTA 02/11/2026 09:00PM ET,UTA,34.72
