Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jarrett Allen (42099018),Jarrett Allen,42099018,C/UTIL,7200,CLE@MIL 02/25/2026 08:00PM ET,CLE,32.07
SF,Jaylon Tyson (42099132),Jaylon Tyson,42099132,SF/F/UTIL,5200,CLE@MIL 02/25/2026 08:00PM ET,CLE,26.32
SG/SF,Sam Merrill (42099198),Sam Merrill,42099198,SG/SF/F/G/UTIL,4700,CLE@MIL 02/25/2026 08:00PM ET,CLE,21.71
PG,Dennis Schroder (42099220),Dennis Schroder,42099220,PG/G/UTIL,4600,CLE@MIL 02/25/2026 08:00PM ET,CLE,29
SF/PF,Dean Wade (42099267),Dean Wade,42099267,SF/PF/F/UTIL,4100,CLE@MIL 02/25/2026 08:00PM ET,CLE,16.47
PF,Nae'Qwan Tomlin (42099324),Nae'Qwan Tomlin,42099324,PF/F/UTIL,3400,CLE@MIL 02/25/2026 08:00PM ET,CLE,14.04
PG,Cade Cunningham (42098959),Cade Cunningham,42098959,PG/G/UTIL,10700,OKC@DET 02/25/2026 07:30PM ET,DET,50.98
C,Jalen Duren (42099010),Jalen Duren,42099010,C/UTIL,7700,OKC@DET 02/25/2026 07:30PM ET,DET,35.97
PF,Tobias Harris (42099087),Tobias Harris,42099087,PF/F/UTIL,5700,OKC@DET 02/25/2026 07:30PM ET,DET,25.68
SF,Ausar Thompson (42099135),Ausar Thompson,42099135,SF/F/UTIL,5200,OKC@DET 02/25/2026 07:30PM ET,DET,26.44
SG,Duncan Robinson (42099223),Duncan Robinson,42099223,SG/G/UTIL,4500,OKC@DET 02/25/2026 07:30PM ET,DET,21.42
PF,Ronald Holland II (42099255),Ronald Holland II,42099255,PF/F/UTIL,4200,OKC@DET 02/25/2026 07:30PM ET,DET,19
PG/SG,Brandin Podziemski (42099037),Brandin Podziemski,42099037,PG/SG/G/UTIL,6500,GSW@MEM 02/25/2026 07:30PM ET,GSW,26.66
PF,Gui Santos (42099063),Gui Santos,42099063,PF/F/UTIL,6100,GSW@MEM 02/25/2026 07:30PM ET,GSW,15.16
SF,Moses Moody (42099076),Moses Moody,42099076,SF/F/UTIL,5900,GSW@MEM 02/25/2026 07:30PM ET,GSW,22.26
PG,Pat Spencer (42099115),Pat Spencer,42099115,PG/G/UTIL,5400,GSW@MEM 02/25/2026 07:30PM ET,GSW,15.29
PF/C,Al Horford (42099124),Al Horford,42099124,PF/C/F/UTIL,5300,GSW@MEM 02/25/2026 07:30PM ET,GSW,21.82
SG/SF,Will Richard (42099238),Will Richard,42099238,SG/SF/F/G/UTIL,4400,GSW@MEM 02/25/2026 07:30PM ET,GSW,14.69
PF/C,Alperen Sengun (42098968),Alperen Sengun,42098968,PF/C/F/UTIL,9300,SAC@HOU 02/25/2026 08:00PM ET,HOU,44.16
SF,Kevin Durant (42098981),Kevin Durant,42098981,SF/F/UTIL,8800,SAC@HOU 02/25/2026 08:00PM ET,HOU,41.64
PF,Jabari Smith Jr. (42099032),Jabari Smith Jr.,42099032,PF/F/UTIL,6700,SAC@HOU 02/25/2026 08:00PM ET,HOU,31.56
SG,Tari Eason (42099054),Tari Eason,42099054,SG/G/UTIL,6300,SAC@HOU 02/25/2026 08:00PM ET,HOU,26.24
PG/SG,Reed Sheppard (42099147),Reed Sheppard,42099147,PG/SG/G/UTIL,5000,SAC@HOU 02/25/2026 08:00PM ET,HOU,24.91
PG,Ty Jerome (42099066),Ty Jerome,42099066,PG/G/UTIL,6100,GSW@MEM 02/25/2026 07:30PM ET,MEM,34.75
PG,Scotty Pippen Jr. (42099118),Scotty Pippen Jr.,42099118,PG/G/UTIL,5400,GSW@MEM 02/25/2026 07:30PM ET,MEM,26.8
PG/SG,Kevin Porter Jr. (42099000),Kevin Porter Jr.,42099000,PG/SG/G/UTIL,8100,CLE@MIL 02/25/2026 08:00PM ET,MIL,41.02
