Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125485-188457,SF/SG,Jordan,Jordan Walsh,Walsh,16.71212121,33,3700,BOS@IND,BOS,IND,,,,,,SG
125485-228111,PF/SF,Danny,Danny Wolf,Wolf,16.94545399,22,4400,BKN@DAL,BKN,DAL,,,,,,PG/SG
125485-188413,SF/SG,Brice,Brice Sensabaugh,Sensabaugh,17.18648715,37,5000,UTA@CLE,UTA,CLE,,,,,,SG/SF
125485-14509,SF/SG,Klay,Klay Thompson,Thompson,17.47777812,36,4000,BKN@DAL,DAL,BKN,,,,,,C
125485-9874,PF,Kevin,Kevin Love,Love,17.722727,22,4300,UTA@CLE,UTA,CLE,,,,,,PG/SG
125485-189467,PG,Craig,Craig Porter,Porter,17.80285645,35,4300,UTA@CLE,CLE,UTA,,,,,,PF
125485-158856,PF/C,Trendon,Trendon Watford,Watford,18.18124962,16,3600,PHI@TOR,PHI,TOR,,,,,,C
125485-228119,SG/SF,Ace,Ace Bailey,Bailey,18.25161251,31,4300,UTA@CLE,UTA,CLE,,,,,,SF/PF
125485-188409,PF/C,Jarace,Jarace Walker,Walker,18.37435835,39,3900,BOS@IND,IND,BOS,,,,,,SG
125485-58312,PG,D'Angelo,D'Angelo Russell,Russell,18.70000047,26,3900,BKN@DAL,DAL,BKN,,,,,,SG
125485-228122,PF/C,Collin,Collin Murray-Boyles,Murray-Boyles,19.18787916,33,5500,PHI@TOR,TOR,PHI,,,,,,PG
125485-203798,PG/SG,Jamal,Jamal Shead,Shead,19.3625,40,4300,PHI@TOR,TOR,PHI,,,,,,SF
125485-80806,PG,Lonzo,Lonzo Ball,Ball,19.77777778,27,3900,UTA@CLE,CLE,UTA,,,,,,SG
125485-110315,SF/SG,Terance,Terance Mann,Mann,20.01250076,32,4200,BKN@DAL,BKN,DAL,,,,,,C
