Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125687-84669,PG,Luka,Luka Doncic,Doncic,57.70000076293945,32,12300,LAL@POR,LAL,POR,O,Groin,,,,PG
125687-55062,C,Nikola,Nikola Jokic,Jokic,63.696876525878906,32,11000,WAS@DEN,DEN,WAS,O,Knee,,,,C
125687-157808,PG,Cade,Cade Cunningham,Cunningham,51.19411692899816,34,10800,IND@DET,DET,IND,P,Wrist,,,,PG
125687-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,50.84750061035156,40,10700,OKC@MIA,OKC,MIA,,,,,,PG
125687-157833,PF/SF,Jalen,Jalen Johnson,Johnson,49.26410381610577,39,10400,BOS@ATL,ATL,BOS,,,,,,SF/PF
125687-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,49.18518518518518,27,10300,MIN@SA,SA,MIN,,,,,,PF/C
125687-66108,PG/SG,Jamal,Jamal Murray,Murray,43.98918852934966,37,10200,WAS@DEN,DEN,WAS,P,Ankle,,,,PG/SG
125687-145539,SF/PF,Deni,Deni Avdija,Avdija,45.439999389648435,40,10000,LAL@POR,POR,LAL,O,Back,,,,SF/PF
125687-67026,SF/SG,Jaylen,Jaylen Brown,Brown,44.791893211570944,37,9600,BOS@ATL,BOS,ATL,,,,,,SG/SF
125687-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.29697117660985,33,9500,MIN@SA,MIN,SA,,,,,,SG/SF
125687-9488,PF/SF,LeBron,LeBron James,James,42.50454434481534,22,9400,LAL@POR,LAL,POR,,,,,,SF/PF
125687-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,41.24210397820724,38,9200,PHO@NY,NY,PHO,,,,,,PF/C
125687-58460,PG/SG,Devin,Devin Booker,Booker,40.270270270270274,37,9100,PHO@NY,PHO,NY,Q,Ankle,,,,PG/SG
125687-9524,PG,Stephen,Stephen Curry,Curry,42.037498474121094,32,9000,CHA@GS,GS,CHA,,,,,,PG
125687-84690,PG,Jalen,Jalen Brunson,Brunson,41.391891891891895,37,8900,PHO@NY,NY,PHO,Q,Ankle,,,,PG
125687-60021,PF/C,Pascal,Pascal Siakam,Siakam,40.514633550876525,41,8800,IND@DET,IND,DET,O,Rest,,,,PF/C
125687-145485,PG,LaMelo,LaMelo Ball,Ball,39.135482295866936,31,8700,CHA@GS,CHA,GS,,,,,,PG
125687-42669,PF,Julius,Julius Randle,Randle,40.49285598028274,42,8500,MIN@SA,MIN,SA,,,,,,PF
125687-14528,SF/PF,Jimmy,Jimmy Butler,Butler,37.54324258340372,37,8200,CHA@GS,GS,CHA,,,,,,SF/PF
125687-49675,SG/PG,Derrick,Derrick White,White,38.07948655348558,39,8100,BOS@ATL,BOS,ATL,,,,,,PG/SG
125687-203764,C/PF,Alex,Alex Sarr,Sarr,37.296772618447584,31,8000,WAS@DEN,WAS,DEN,,,,,,PF/C
125687-171761,PF/SF,Peyton,Peyton Watson,Watson,26.928203876201923,39,7900,WAS@DEN,DEN,WAS,,,,,,SF/PF
125687-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,35.421952410442074,41,7900,BOS@ATL,ATL,BOS,,,,,,PF/C
