Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,ret,tre,Roster Position,
125853-110342,PG,Darius,Darius Garland,Garland,31.21538368,26,6800,CLE@CHA,CLE,CHA,O,Toe,,,,PG,
125853-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,27.76666768,24,5300,IND@BOS,IND,BOS,O,Thumb,,,,SG/SF,
125853-63122,C/PF,Kristaps,Kristaps Porzingis,Porzingis,31.84706026,17,5100,ATL@MEM,ATL,MEM,O,Achilles,,,,PF/C,
125853-67708,PG/SG,Dejounte,Dejounte Murray,Murray,40.09677419,31,4500,DET@NO,NO,DET,O,Achilles,,,,PG/SG,
125853-145317,SF/SG,Sam,Sam Merrill,Merrill,21.72500102,24,4300,CLE@CHA,CLE,CHA,O,Hand,,,,SG/SF,
125853-203767,SF/PF,Zaccharie,Zaccharie Risacher,Risacher,20.66111077,36,4000,ATL@MEM,ATL,MEM,O,Knee,,,,SF/PF,
125853-110331,PG/SG,Ty,Ty Jerome,Jerome,22.51265823,79,4000,ATL@MEM,MEM,ATL,O,Calf,,,,PG/SG,
125853-112708,SG/SF,Max,Max Strus,Strus,21.42542332,59,3900,CLE@CHA,CLE,CHA,O,Foot,,,,SG/SF,
125853-158373,PG,Jose,Jose Alvarado,Alvarado,18.21714216,35,3900,DET@NO,NO,DET,O,Oblique,,,,PG,
125853-171776,PF/SF,Josh,Josh Minott,Minott,15.75862069,29,3600,IND@BOS,BOS,IND,O,Ankle,,,,SF/PF,
125853-203781,C,N'Faly,N'Faly Dante,Dante,4.099999905,4,3500,ATL@MEM,ATL,MEM,O,Knee,,,,C,
125853-110353,C/PF,Brandon,Brandon Clarke,Clarke,11.35000038,2,3500,ATL@MEM,MEM,ATL,O,Calf,,,,PF/C,
125853-203801,PG,KJ,KJ Simpson,Simpson,13.7357145,14,3500,CLE@CHA,CHA,CLE,O,Hip,,,,PG,
125853-102025,SF,Haywood,Haywood Highsmith,Highsmith,16.43999939,80,3500,BKN@NY,BKN,NY,O,Knee,,,,SF,
125853-171661,PG/SG,Scotty,Scotty Pippen,Pippen,23.98352912,85,3500,ATL@MEM,MEM,ATL,O,Toe,,,,PG/SG,
125853-80808,PF/SF,Jayson,Jayson Tatum,Tatum,48.775,80,3500,IND@BOS,BOS,IND,O,Achilles,,,,SF/PF,
125853-145339,PF,Obi,Obi Toppin,Toppin,25.5,3,3500,IND@BOS,IND,BOS,O,Foot,,,,PF,
125853-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,41.08541616,96,3500,IND@BOS,IND,BOS,O,Achilles,,,,PG,
125853-203734,C,Zach,Zach Edey,Edey,33.8545449,11,3500,ATL@MEM,MEM,ATL,O,Ankle,,,,C,
125853-15590,C,Mason,Mason Plumlee,Plumlee,7.642857143,14,3500,CLE@CHA,CHA,CLE,O,Groin,,,,C,
125853-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.14615259,39,9700,IND@BOS,BOS,IND,P,Hamstring,,,,SG/SF,
125853-203766,PF,Tidjane,Tidjane Salaun,Salaun,14.04285758,28,3900,CLE@CHA,CHA,CLE,P,Achilles,,,,PF,
125853-157844,PF/C,Santi,Santi Aldama,Aldama,29.95853778,41,6200,ATL@MEM,MEM,ATL,Q,Knee,,,,PF/C,
125853-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,21.78205128,39,4800,BKN@NY,BKN,NY,Q,Illness,,,,C,
125853-157848,SF/PF,Herbert,Herbert Jones,Jones,21.81739077,23,4200,DET@NO,NO,DET,Q,Ankle,,,,SF/PF,
125853-23798,SG/SF,Caris,Caris LeVert,LeVert,17.58709717,31,3900,DET@NO,DET,NO,Q,Illness,,,,SG/SF,
125853-157808,PG,Cade,Cade Cunningham,Cunningham,50.42500136,36,10600,DET@NO,DET,NO,,,,,,PG,
125853-157833,PF/SF,Jalen,Jalen Johnson,Johnson,48.94146282,41,10400,ATL@MEM,ATL,MEM,,,,,,SF/PF,
125853-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.52749939,40,9500,CLE@CHA,CLE,CHA,,,,,,PG/SG,
125853-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,41.5,40,9200,BKN@NY,NY,BKN,,,,,,PF/C,
125853-84690,PG,Jalen,Jalen Brunson,Brunson,41.06578947,38,8700,BKN@NY,NY,BKN,,,,,,PG,
125853-60021,PF/C,Pascal,Pascal Siakam,Siakam,40.44762021,42,8600,IND@BOS,IND,BOS,,,,,,PF/C,
125853-84682,PF/SF,Michael,Michael Porter,Porter,40.68181818,33,8500,BKN@NY,BKN,NY,,,,,,SF/PF,
125853-157845,PF/C,Evan,Evan Mobley,Mobley,40.71052632,38,8400,CLE@CHA,CLE,CHA,,,,,,PF/C,
125853-145485,PG,LaMelo,LaMelo Ball,Ball,38.2787864,33,8300,CLE@CHA,CHA,CLE,,,,,,PG,
125853-49675,SG/PG,Derrick,Derrick White,White,37.91219572,41,8200,IND@BOS,BOS,IND,,,,,,PG/SG,
125853-110310,PF,Zion,Zion Williamson,Williamson,37.56551808,29,8100,DET@NO,NO,DET,,,,,,PF,
125853-157847,SF/SG,Trey,Trey Murphy,Murphy,38.43902439,41,8000,DET@NO,NO,DET,,,,,,SG/SF,
125853-110344,PG,Ja,Ja Morant,Morant,35.00526187,19,7900,ATL@MEM,MEM,ATL,,,,,,PG,
125853-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,35.26046398,43,7600,ATL@MEM,ATL,MEM,,,,,,PF/C,
125853-188419,SF/SG,Brandon,Brandon Miller,Miller,33.41153893,26,7500,CLE@CHA,CHA,CLE,,,,,,SG/SF,
125853-84683,PF/C,Jaren,Jaren Jackson,Jackson,33.23076923,39,7400,ATL@MEM,MEM,ATL,,,,,,PF/C,
125853-171784,SG/PG,Dyson,Dyson Daniels,Daniels,34.14418491,43,7300,ATL@MEM,ATL,MEM,,,,,,PG/SG,
125853-171779,C,Jalen,Jalen Duren,Duren,36.52941176,34,7200,DET@NO,DET,NO,,,,,,C,
125853-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,32.36176614,34,7200,IND@BOS,IND,BOS,,,,,,PG/SG,
125853-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,33.25348894,43,7000,ATL@MEM,ATL,MEM,,,,,,PG/SG,
125853-40562,SF/PF,Josh,Josh Hart,Hart,31.46249962,32,6900,BKN@NY,NY,BKN,,,,,,SF/PF,
125853-84678,PF/SF,Miles,Miles Bridges,Bridges,33.62857201,42,6900,CLE@CHA,CHA,CLE,,,,,,SF/PF,
125853-68090,SF/PF,OG,OG Anunoby,Anunoby,31.0575765,33,6800,BKN@NY,NY,BKN,,,,,,SF/PF,
125853-228132,PF/C,Derik,Derik Queen,Queen,31.51818293,44,6600,DET@NO,NO,DET,,,,,,PF/C,
125853-228135,SF/SG,Kon,Kon Knueppel,Knueppel,31.18333217,42,6500,CLE@CHA,CHA,CLE,,,,,,SG/SF,
125853-84670,SG/SF,Mikal,Mikal Bridges,Bridges,33.93255757,43,6500,BKN@NY,NY,BKN,,,,,,SG/SF,
125853-80821,C/PF,Jarrett,Jarrett Allen,Allen,29.68437576,32,6400,CLE@CHA,CLE,CHA,,,,,,PF/C,
125853-145335,PG/SG,Payton,Payton Pritchard,Pritchard,31.68780369,41,6400,IND@BOS,BOS,IND,,,,,,PG/SG,
125853-110354,C,Nic,Nic Claxton,Claxton,32.82563977,39,6300,BKN@NY,BKN,NY,,,,,,C,
125853-188426,SF/SG,Ausar,Ausar Thompson,Thompson,27.56486552,37,6000,DET@NO,DET,NO,,,,,,SG/SF,
125853-19067,SG/PG,CJ,CJ McCollum,McCollum,29.46499939,40,6000,ATL@MEM,ATL,MEM,,,,,,PG/SG,
125853-203728,SF/SG,Jaylon,Jaylon Tyson,Tyson,26.06923108,39,5900,CLE@CHA,CLE,CHA,,,,,,SG/SF,
125853-203777,SG/PG,Cam,Cam Spencer,Spencer,24.02250061,40,5800,ATL@MEM,MEM,ATL,,,,,,PG/SG,
125853-228127,SG/SF,Cedric,Cedric Coward,Coward,27.03684275,38,5800,ATL@MEM,MEM,ATL,,,,,,SG/SF,
125853-145333,SF/PF,Aaron,Aaron Nesmith,Nesmith,25.35652227,23,5600,IND@BOS,IND,BOS,,,,,,SF/PF,
125853-188431,PF,Noah,Noah Clowney,Clowney,24.18292683,41,5500,BKN@NY,BKN,NY,,,,,,PF,
125853-14518,PF/SF,Tobias,Tobias Harris,Harris,25.03846154,26,5400,DET@NO,DET,NO,,,,,,SF/PF,
125853-157811,C,Neemias,Neemias Queta,Queta,27.47000122,40,5300,IND@BOS,BOS,IND,,,,,,C,
125853-145328,SF/PF,Saddiq,Saddiq Bey,Bey,27.44736842,38,5300,DET@NO,NO,DET,,,,,,SF/PF,
125853-228131,PG/SG,Jeremiah,Jeremiah Fears,Fears,25.13111165,45,5200,DET@NO,NO,DET,,,,,,PG/SG,
125853-157824,PG/SG,Miles,Miles McBride,McBride,22.30937576,32,5200,BKN@NY,NY,BKN,,,,,,PG/SG,
125853-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,24.13783718,37,5200,DET@NO,DET,NO,,,,,,PF/C,
125853-228109,PG/SG,Egor,Egor Demin,Demin,21.11944411,36,5100,BKN@NY,BKN,NY,,,,,,PG/SG,
125853-171765,C,Moussa,Moussa Diabate,Diabate,24.70256473,39,5100,CLE@CHA,CHA,CLE,,,,,,C,
125853-157838,SG/PG,Cam,Cam Thomas,Thomas,23.18888855,18,5000,BKN@NY,BKN,NY,,,,,,PG/SG,
125853-84667,SG/PG,Collin,Collin Sexton,Sexton,23.92058788,34,5000,CLE@CHA,CHA,CLE,,,,,,PG/SG,
125853-158137,C,Jock,Jock Landale,Landale,23.48717949,39,5000,ATL@MEM,MEM,ATL,,,,,,C,
125853-159097,C,Jay,Jay Huff,Huff,22.13863581,44,4900,IND@BOS,IND,BOS,,,,,,C,
125853-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,23.4717955,39,4800,CLE@CHA,CLE,CHA,,,,,,SF/PF,
125853-18393,PG,T.J.,T.J. McConnell,McConnell,22.97741896,31,4800,IND@BOS,IND,BOS,,,,,,PG,
125853-84717,SG/PG,Anfernee,Anfernee Simons,Simons,21.10714286,42,4700,IND@BOS,BOS,IND,,,,,,PG/SG,
125853-228111,PF/SF,Danny,Danny Wolf,Wolf,17.67777733,27,4500,BKN@NY,BKN,NY,,,,,,SF/PF,
125853-189467,PG,Craig,Craig Porter,Porter,17.61282114,39,4500,CLE@CHA,CLE,CHA,,,,,,PG,
125853-228147,C,Ryan,Ryan Kalkbrenner,Kalkbrenner,22.91935484,31,4400,CLE@CHA,CHA,CLE,,,,,,C,
125853-84709,C,Mitchell,Mitchell Robinson,Robinson,22.75666707,30,4400,BKN@NY,NY,BKN,,,,,,C,
125853-110322,PG/SG,Jordan,Jordan Poole,Poole,22.75,26,4400,DET@NO,NO,DET,,,,,,PG/SG,
125853-203812,PG/SG,Daniss,Daniss Jenkins,Jenkins,16.26060532,33,4300,DET@NO,DET,NO,,,,,,PG/SG,
125853-85137,SG/SF,Duncan,Duncan Robinson,Robinson,20.71538524,39,4300,DET@NO,DET,NO,,,,,,SG/SF,
125853-188409,PF/C,Jarace,Jarace Walker,Walker,18.46363692,44,4300,IND@BOS,IND,BOS,,,,,,PF/C,
125853-158854,SF/PF,Sam,Sam Hauser,Hauser,17.2195122,41,4200,IND@BOS,BOS,IND,,,,,,SF/PF,
125853-145329,C,Paul,Paul Reed,Reed,16.31612864,31,4200,DET@NO,DET,NO,,,,,,C,
125853-203729,C,Yves,Yves Missi,Missi,18.06486552,37,4200,DET@NO,NO,DET,,,,,,C,
125853-203762,PF/SF,Ronald,Ronald Holland,Holland,19.42820544,39,4200,DET@NO,DET,NO,,,,,,SF/PF,
125853-110315,SF/SG,Terance,Terance Mann,Mann,19.75405471,37,4100,BKN@NY,BKN,NY,,,,,,SG/SF,
125853-188454,PF/C,Mouhamed,Mouhamed Gueye,Gueye,14.11627907,43,4000,ATL@MEM,ATL,MEM,,,,,,PF/C,
125853-157843,SF/SG,Ziaire,Ziaire Williams,Williams,17.21333415,30,4000,BKN@NY,BKN,NY,,,,,,SG/SF,
125853-203776,SG/SF,Jaylen,Jaylen Wells,Wells,20.16829328,41,3900,ATL@MEM,MEM,ATL,,,,,,SG/SF,
125853-228107,SG/SF,Drake,Drake Powell,Powell,12.0700002,30,3900,BKN@NY,BKN,NY,,,,,,SG/SF,
125853-112709,SF,Javonte,Javonte Green,Green,16.27804938,41,3900,DET@NO,DET,NO,,,,,,SF,
125853-157807,C,Luka,Luka Garza,Garza,16.45294189,34,3900,IND@BOS,BOS,IND,,,,,,C,
125853-145540,SG/SF,Vit,Vit Krejci,Krejci,17.40243902,41,3900,ATL@MEM,ATL,MEM,,,,,,SG/SF,
125853-171756,SG/PG,Vince,Vince Williams,Williams,21.74444354,27,3900,ATL@MEM,MEM,ATL,,,,,,PG/SG,
125853-203773,SF,Johnny,Johnny Furphy,Furphy,12.44230769,26,3900,IND@BOS,IND,BOS,,,,,,SF,
125853-171780,SG/PG,Jaden,Jaden Ivey,Ivey,15.24615361,26,3800,DET@NO,DET,NO,,,,,,PG/SG,
125853-171785,SG,Bryce,Bryce McGowens,McGowens,13.85357121,28,3800,DET@NO,NO,DET,,,,,,SG,
125853-228110,PG,Nolan,Nolan Traore,Traore,11.56190491,21,3800,BKN@NY,BKN,NY,,,,,,PG,
125853-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,17.375,40,3800,ATL@MEM,MEM,ATL,,,,,,SG/SF,
125853-188444,PF/SF,GG,GG Jackson,Jackson,13.70476132,21,3800,ATL@MEM,MEM,ATL,,,,,,SF/PF,
125853-188457,SF/SG,Jordan,Jordan Walsh,Walsh,16.27027027,37,3800,IND@BOS,BOS,IND,,,,,,SG/SF,
125853-179762,SG,Quenton,Quenton Jackson,Jackson,14.24285743,21,3800,IND@BOS,IND,BOS,,,,,,SG,
125853-228148,SF/SG,Sion,Sion James,James,15.70930233,43,3800,CLE@CHA,CHA,CLE,,,,,,SG/SF,
125853-228161,SG,Kam,Kam Jones,Jones,4.645454407,11,3800,IND@BOS,IND,BOS,,,,,,SG,
125853-228169,SG,Micah,Micah Peavy,Peavy,10.98108075,37,3800,DET@NO,NO,DET,,,,,,SG,
