Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-157808,PG,Cade,Cade Cunningham,Cunningham,49.96976631,43,10600,WAS@DET,DET,WAS,Q,Wrist,,,,PG
126408-157833,PF/SF,Jalen,Jalen Johnson,Johnson,49.5808521,47,11000,UTA@ATL,ATL,UTA,,,,,,SF/PF
126408-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,49.54166667,36,11600,SA@DAL,SA,DAL,,,,,,PF/C
126408-157908,C/PF,Alperen,Alperen Sengun,Sengun,45.61904762,42,10100,CHA@HOU,HOU,CHA,,,,,,PF/C
126408-15755,C/PF,Anthony,Anthony Davis,Davis,44.01000061,20,3500,WAS@DET,WAS,DET,O,Finger,,,,PF/C
126408-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.56666475,51,9200,CHI@TOR,TOR,CHI,,,,,,SF/PF
126408-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,42.25135267,37,8400,UTA@ATL,UTA,ATL,,,,,,SF/PF
126408-157905,PG/SG,Josh,Josh Giddey,Giddey,42.23235366,34,7900,CHI@TOR,CHI,TOR,O,Hamstring,,,,PG/SG
126408-9646,SF/PF,Kevin,Kevin Durant,Durant,41.16956628,46,8800,CHA@HOU,HOU,CHA,,,,,,SF/PF
126408-84682,PF/SF,Michael,Michael Porter,Porter,40.50512695,39,8300,BKN@ORL,BKN,ORL,,,,,,SF/PF
126408-14498,PG,Kyrie,Kyrie Irving,Irving,40.49,50,6000,SA@DAL,DAL,SA,O,Knee,,,,PG
126408-171770,PF/SF,Paolo,Paolo Banchero,Banchero,40.35641088,39,9100,BKN@ORL,ORL,BKN,,,,,,SF/PF
126408-188412,PG/SG,Keyonte,Keyonte George,George,39.68510534,47,8200,UTA@ATL,UTA,ATL,O,Ankle,,,,PG/SG
126408-188405,SG/PG,Amen,Amen Thompson,Thompson,39.13061274,49,9000,CHA@HOU,HOU,CHA,,,,,,PG/SG
126408-171777,C,Walker,Walker Kessler,Kessler,38.26000061,5,3500,UTA@ATL,UTA,ATL,O,Shoulder,,,,C
126408-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,38.13478155,46,9500,SA@DAL,DAL,SA,,,,,,PG/SG/SF
126408-203764,C/PF,Alex,Alex Sarr,Sarr,37.91538336,39,8100,WAS@DET,WAS,DET,,,,,,PF/C
126408-145485,PG,LaMelo,LaMelo Ball,Ball,37.38292564,41,8000,CHA@HOU,CHA,HOU,,,,,,PG
126408-157851,SF/PF,Franz,Franz Wagner,Wagner,37.35769184,26,6500,BKN@ORL,ORL,BKN,O,Ankle,,,,SF/PF
126408-171779,C,Jalen,Jalen Duren,Duren,36.89285714,42,7600,WAS@DET,DET,WAS,,,,,,C
126408-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.80199951,50,7800,CHI@TOR,TOR,CHI,,,,,,SF/PF
126408-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.10243783,41,7400,SA@DAL,SA,DAL,,,,,,PG
126408-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,35.20638194,47,7200,UTA@ATL,ATL,UTA,Q,Mouth,,,,PF/C
126408-84671,PG,Trae,Trae Young,Young,35.15,10,3500,WAS@DET,WAS,DET,O,Knee,,,,PG
126408-84683,PF/C,Jaren,Jaren Jackson,Jackson,34.41777886,45,7400,UTA@ATL,UTA,ATL,O,Not injury related,,,,PF/C
126408-203723,SG/PG,Stephon,Stephon Castle,Castle,34.31499939,40,7300,SA@DAL,SA,DAL,,,,,,PG/SG
126408-188419,SF/SG,Brandon,Brandon Miller,Miller,34.27353085,34,7600,CHA@HOU,CHA,HOU,,,,,,SG/SF
126408-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,33.8632663,49,7300,CHI@TOR,TOR,CHI,,,,,,PG/SG
126408-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33.73800049,50,7500,UTA@ATL,ATL,UTA,,,,,,PG/SG
126408-55057,C,Jusuf,Jusuf Nurkic,Nurkic,33.72894608,38,7300,UTA@ATL,UTA,ATL,,,,,,C
126408-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,32.99399902,50,7200,UTA@ATL,ATL,UTA,,,,,,PG/SG
126408-203722,SF/SG,Kyshawn,Kyshawn George,George,32.74500122,40,7400,WAS@DET,WAS,DET,,,,,,SG/SF
126408-145334,SG/SF,Desmond,Desmond Bane,Bane,32.68775411,49,7000,BKN@ORL,ORL,BKN,,,,,,SG/SF
