Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position
126855-157833,PF/SF,Jalen,Jalen Johnson,Johnson,60.84,53,11300,WAS@ATL,ATL,WAS,,,,,
126855-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,42.6,54,9700,NY@CLE,CLE,NY,,,,,
126855-157822,PF/SF,Scottie,Scottie Barnes,Barnes,42.61,55,9500,OKC@TOR,TOR,OKC,,,,,
126855-110345,PG/SG,Kevin,Kevin Porter Jr.,Porter,40,30,9400,MIA@MIL,MIL,MIA,,,,,
126855-9644,PG/SG,James,James Harden,Harden,42.83,50,9100,NY@CLE,CLE,NY,,,,,
126855-84690,PG,Jalen,Jalen Brunson,Brunson,39.04,53,9000,NY@CLE,NY,CLE,,,,,
126855-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,39,54,8900,NY@CLE,NY,CLE,,,,,
126855-145485,PG,LaMelo,LaMelo Ball,Ball,44.64,48,8700,CHA@CHI,CHA,CHI,,,,,
126855-84682,PF/SF,Michael,Michael Porter,Porter,36,44,8200,DAL@BKN,BKN,DAL,,,,,
126855-110310,PF,Zion,Zion Williamson,Williamson,36.4,42,8200,GS@NO,NO,GS,,,,,
126855-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.94,55,8200,OKC@TOR,TOR,OKC,,,,,
126855-80817,C/PF,Bam,Bam Adebayo,Adebayo,40.35,50,8100,MIA@MIL,MIA,MIL,,,,,
126855-171772,PG/SG,Ryan,Ryan Rollins,Rollins,43.17,53,8000,MIA@MIL,MIL,MIA,,,,,
126855-171759,C/PF,Chet,Chet Holmgren,Holmgren,34.04,51,7900,OKC@TOR,OKC,TOR,,,,,
126855-157905,PG/SG,Josh,Josh Giddey,Giddey,30.27,37,7600,CHA@CHI,CHI,CHA,,,,,
126855-157845,PF/C,Evan,Evan Mobley,Mobley,39,44,7500,NY@CLE,CLE,NY,,,,,
126855-80821,C/PF,Jarrett,Jarrett Allen,Allen,41.92,46,7400,NY@CLE,CLE,NY,,,,,
126855-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,34.82,54,7300,OKC@TOR,TOR,OKC,,,,,
126855-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,34.15,53,7200,WAS@ATL,ATL,WAS,,,,,
126855-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,36.12,57,7200,WAS@ATL,ATL,WAS,,,,,
126855-16293,SF/SG,Norman,Norman Powell,Powell,30.72,47,7100,MIA@MIL,MIA,MIL,,,,,
