Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125548-29501,WR,Brandin,Brandin Cooks,Cooks,3.58571434,14,5900,BUF@DEN,BUF,DEN,,,,,,WR/FLEX
125548-12549,D,San Francisco,San Francisco 49ers,49ers,4.5,18,4000,SF@SEA,SF,SEA,,,,,,WR/FLEX
125548-38264,WR,Demarcus,Demarcus Robinson,Robinson,4.68666687,15,6200,SF@SEA,SF,SEA,,,,,,TE/FLEX
125548-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,4.966666667,15,5600,BUF@DEN,DEN,BUF,,,,,,RB/FLEX
125548-64585,TE,Dawson,Dawson Knox,Knox,5.305882173,17,5100,BUF@DEN,BUF,DEN,,,,,,RB/FLEX
125548-80289,WR,Kendrick,Kendrick Bourne,Bourne,5.685714177,14,5100,SF@SEA,SF,SEA,,,,,,TE/FLEX
125548-79970,WR,Cooper,Cooper Kupp,Kupp,5.862500191,16,5700,SF@SEA,SEA,SF,,,,,,WR/FLEX
125548-12526,D,Buffalo,Buffalo Bills,Bills,6.388888889,18,3700,BUF@DEN,BUF,DEN,,,,,,RB/FLEX
125548-157467,WR,Keon,Keon Coleman,Coleman,6.961538462,13,5300,BUF@DEN,BUF,DEN,,,,,,WR/FLEX
125548-91467,TE,Jake,Jake Tonges,Tonges,7.109090632,11,5800,SF@SEA,SF,SEA,,,,,,WR/FLEX
125548-137953,TE,AJ,AJ Barner,Barner,7.135294297,17,5200,SF@SEA,SEA,SF,,,,,,RB/FLEX
125548-170287,WR,Rashid,Rashid Shaheed,Shaheed,7.227778117,18,5500,SF@SEA,SEA,SF,,,,,,TE/FLEX
125548-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.78000021,4,6000,BUF@DEN,BUF,DEN,,,,,,WR/FLEX
125548-12531,D,Denver,Denver Broncos,Broncos,8.411764706,17,4800,BUF@DEN,DEN,BUF,,,,,,WR/FLEX
125548-151903,WR,Troy,Troy Franklin,Franklin,8.505882712,17,5800,BUF@DEN,DEN,BUF,,,,,,TE/FLEX
125548-102796,WR,Ricky,Ricky Pearsall,Pearsall,8.511110942,9,6000,SF@SEA,SF,SEA,Q,Knee - pcl,,,,TE/FLEX
125548-86518,WR,Khalil,Khalil Shakir,Shakir,8.6823533,17,6600,BUF@DEN,BUF,DEN,,,,,,TE/FLEX
125548-145558,TE,Dalton,Dalton Kincaid,Kincaid,9.453846271,13,5300,BUF@DEN,BUF,DEN,,,,,,WR/FLEX
125548-61593,WR,Jauan,Jauan Jennings,Jennings,9.74750042,16,6800,SF@SEA,SF,SEA,,,,,,WR/FLEX
125548-12550,D,Seattle,Seattle Seahawks,Seahawks,10.70588235,17,4400,SF@SEA,SEA,SF,,,,,,TE/FLEX
125548-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.72941141,17,6500,SF@SEA,SEA,SF,,,,,,TE/FLEX
125548-110484,RB,RJ,RJ Harvey,Harvey,10.77058859,17,7000,BUF@DEN,DEN,BUF,,,,,,WR/FLEX
125548-103376,RB,Zach,Zach Charbonnet,Charbonnet,10.89999962,16,6700,SF@SEA,SEA,SF,,,,,,TE/FLEX
125548-57403,WR,Courtland,Courtland Sutton,Sutton,11.09999982,17,7300,BUF@DEN,DEN,BUF,,,,,,WR/FLEX
125548-90584,QB,Mac,Mac Jones,Jones,13.18545394,11,6000,SF@SEA,SF,SEA,,,,,,RB/FLEX
125548-63589,QB,Sam,Sam Darnold,Darnold,15.02470577,17,7300,SF@SEA,SEA,SF,Q,Oblique,,,,RB/FLEX
125548-91626,RB,James,James Cook III,Cook III,17.71111043,18,8400,BUF@DEN,BUF,DEN,,,,,,TE/FLEX
125548-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,19.25882317,17,9600,SF@SEA,SEA,SF,,,,,,WR/FLEX
125548-102965,QB,Bo,Bo Nix,Nix,19.28470567,17,7500,BUF@DEN,DEN,BUF,,,,,,TE/FLEX
125548-85607,QB,Brock,Brock Purdy,Purdy,21.22599945,10,7800,SF@SEA,SF,SEA,,,,,,RB/FLEX
125548-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.44444444,18,9800,SF@SEA,SF,SEA,,,,,,RB/FLEX
125548-62239,QB,Josh,Josh Allen,Allen,24.3435292,17,9000,BUF@DEN,BUF,DEN,,,,,,WR/FLEX
