Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,ff,fg,Roster Position
127865-157833,PF/SF,Jalen,Jalen Johnson,Johnson,49.20793806,63,10900,GS@ATL,ATL,GS,,,,,,SF/PF
127865-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,34.7421875,64,7400,GS@ATL,ATL,GS,,,,,,PF/C
127865-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33.59242572,66,7300,GS@ATL,ATL,GS,,,,,,PG/SG
127865-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,33.3343269,67,7100,GS@ATL,ATL,GS,,,,,,PG/SG
127865-19067,SG/PG,CJ,CJ McCollum,McCollum,30.00769231,65,6400,GS@ATL,ATL,GS,,,,,,PG/SG
127865-145485,PG,LaMelo,LaMelo Ball,Ball,37.46999919,60,8600,MEM@CHA,CHA,MEM,,,,,,PG
127865-188419,SF/SG,Brandon,Brandon Miller,Miller,34.36226323,53,7300,MEM@CHA,CHA,MEM,,,,,,SG/SF
127865-228135,SF/SG,Kon,Kon Knueppel,Knueppel,31.66956451,69,6700,MEM@CHA,CHA,MEM,,,,,,SG/SF
127865-84678,PF/SF,Miles,Miles Bridges,Bridges,31.14153771,65,6300,MEM@CHA,CHA,MEM,,,,,,SF/PF
127865-171765,C,Moussa,Moussa Diabate,Diabate,25.41774233,62,5200,MEM@CHA,CHA,MEM,,,,,,C
127865-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,44.89508357,61,9800,CLE@NO,CLE,NO,,,,,,PG/SG
127865-9644,PG/SG,James,James Harden,Harden,43.12833252,60,9500,CLE@NO,CLE,NO,,,,,,PG/SG
127865-157845,PF/C,Evan,Evan Mobley,Mobley,40.51636186,55,9600,CLE@NO,CLE,NO,,,,,,PF/C
127865-40201,PG/SG,Dennis,Dennis Schroder,Schroder,23.31186482,59,4300,CLE@NO,CLE,NO,,,,,,PG/SG
127865-145317,SF/SG,Sam,Sam Merrill,Merrill,20.47045482,44,4500,CLE@NO,CLE,NO,,,,,,SG/SF
127865-110883,PF/SF,Dean,Dean Wade,Wade,16.35999978,55,3700,CLE@NO,CLE,NO,,,,,,SF/PF
127865-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,38.52758789,58,9000,LAC@DAL,DAL,LAC,,,,,,PG/SG/SF
127865-110352,PF/SF,P.J.,P.J. Washington,Washington,30.12353037,51,6300,LAC@DAL,DAL,LAC,,,,,,SF/PF
127865-145819,SF/PF,Naji,Naji Marshall,Marshall,27.4731336,67,6300,LAC@DAL,DAL,LAC,,,,,,SF/PF
127865-171751,SF/SG,Max,Max Christie,Christie,21.0830773,65,4200,LAC@DAL,DAL,LAC,,,,,,SG/SF
127865-16261,SG/SF,Khris,Khris Middleton,Middleton,21.05961492,52,4100,LAC@DAL,DAL,LAC,,,,,,SG/SF
127865-188433,SG/PG,Brandin,Brandin Podziemski,Podziemski,27.23428606,70,6900,GS@ATL,GS,ATL,,,,,,PG/SG
127865-174501,PG,Pat,Pat Spencer,Spencer,15.7518514,54,4700,GS@ATL,GS,ATL,,,,,,PG
127865-228143,SG,Will,Will Richard,Richard,15.22666626,60,4300,GS@ATL,GS,ATL,,,,,,SG
127865-157908,C/PF,Alperen,Alperen Sengun,Sengun,43.61833496,60,9400,MIA@HOU,HOU,MIA,,,,,,PF/C
127865-9646,SF/PF,Kevin,Kevin Durant,Durant,41.07878714,66,8800,MIA@HOU,HOU,MIA,,,,,,SF/PF
127865-188405,SG/PG,Amen,Amen Thompson,Thompson,38.78358209,67,8800,MIA@HOU,HOU,MIA,,,,,,PG/SG
127865-171767,PF/C,Jabari,Jabari Smith,Smith,30.47384691,65,6600,MIA@HOU,HOU,MIA,,,,,,PF/C
127865-203713,PG/SG,Reed,Reed Sheppard,Sheppard,26.28405762,69,6200,MIA@HOU,HOU,MIA,,,,,,PG/SG
127865-171769,SF/PF,Tari,Tari Eason,Eason,24.61063726,47,5600,MIA@HOU,HOU,MIA,,,,,,SF/PF
127865-188449,SF/PF,Jalen,Jalen Slawson,Slawson,26.22000122,5,4700,IND@SA,IND,SA,,,,,,SF/PF
127865-188409,PF/SF,Jarace,Jarace Walker,Walker,22.8289848,69,6600,IND@SA,IND,SA,,,,,,SF/PF
