name,position,team,opponent,salary,projection,floor,ceiling,value,games_played
Jalen Johnson,PF/SF,ATL,DEN,10700,53.5,37.45,74.9,5.0,0
Tyrese Maxey,PG,PHI,ORL,10500,52.5,36.75,73.5,5.0,0
Kawhi Leonard,SF/PF,LAC,BKN,10200,51.0,35.7,71.4,5.0,0
Jamal Murray,PG/SG,DEN,ATL,10000,50.0,35.0,70.0,5.0,0
Jaylen Brown,SF/SG,BOS,TOR,9900,49.5,34.65,69.3,5.0,0
Paolo Banchero,PF/SF,ORL,PHI,9800,49.0,34.3,68.6,5.0,0
Michael Porter,PF/SF,BKN,LAC,9300,46.5,32.55,65.1,5.0,0
Karl-Anthony Towns,C/PF,NY,PHO,9200,46.0,32.2,64.4,5.0,0
Jalen Brunson,PG,NY,PHO,9100,45.5,31.85,63.7,5.0,0
Joel Embiid,C,PHI,ORL,9000,45.0,31.5,63.0,5.0,0
James Harden,PG/SG,LAC,BKN,8800,44.0,30.8,61.6,5.0,0
Devin Booker,PG/SG,PHO,NY,8700,43.5,30.45,60.9,5.0,0
Zion Williamson,PF,NO,WAS,8500,42.5,29.75,59.5,5.0,0
Derrick White,SG/PG,BOS,TOR,8400,42.0,29.4,58.8,5.0,0
Dyson Daniels,SG/PG,ATL,DEN,8100,40.5,28.35,56.7,5.0,0
Jalen Williams,SF/PF,OKC,MEM,7900,39.5,27.65,55.3,5.0,0
Alex Sarr,C/PF,WAS,NO,7800,39.0,27.3,54.6,5.0,0
Trey Murphy,SF/SG,NO,WAS,7600,38.0,26.6,53.2,5.0,0
Jaren Jackson,PF/C,MEM,OKC,7500,37.5,26.25,52.5,5.0,0
Onyeka Okongwu,C/PF,ATL,DEN,7400,37.0,25.9,51.8,5.0,0
Nickeil Alexander-Walker,SG/PG,ATL,DEN,7000,35.0,24.5,49.0,5.0,0
Peyton Watson,PF/SF,DEN,ATL,7000,35.0,24.5,49.0,5.0,0
Derik Queen,PF/C,NO,WAS,7000,35.0,24.5,49.0,5.0,0
Payton Pritchard,PG/SG,BOS,TOR,6900,34.5,24.15,48.3,5.0,0
OG Anunoby,SF/PF,NY,PHO,6900,34.5,24.15,48.3,5.0,0
Santi Aldama,PF/C,MEM,OKC,6800,34.0,23.8,47.6,5.0,0
RJ Barrett,SG/SF,TOR,BOS,6800,34.0,23.8,47.6,5.0,0
Mikal Bridges,SG/SF,NY,PHO,6700,33.5,23.45,46.9,5.0,0
Ivica Zubac,C,LAC,BKN,6500,32.5,22.75,45.5,5.0,0
Immanuel Quickley,PG/SG,TOR,BOS,6500,32.5,22.75,45.5,5.0,0
Cam Spencer,SG/PG,MEM,OKC,6400,32.0,22.4,44.8,5.0,0
Collin Gillespie,PG/SG,PHO,NY,6400,32.0,22.4,44.8,5.0,0
Cam Thomas,SG,BKN,LAC,6300,31.5,22.05,44.1,5.0,0
Kyshawn George,SF/SG,WAS,NO,6300,31.5,22.05,44.1,5.0,0
Nic Claxton,C,BKN,LAC,6200,31.0,21.7,43.4,5.0,0
Aaron Gordon,PF,DEN,ATL,6100,30.5,21.35,42.7,5.0,0
Jordan Poole,PG/SG,NO,WAS,6100,30.5,21.35,42.7,5.0,0
John Collins,PF/C,LAC,BKN,5900,29.5,20.65,41.3,5.0,0
Dillon Brooks,SF/SG,PHO,NY,5900,29.5,20.65,41.3,5.0,0
Bilal Coulibaly,SF/PF,WAS,NO,5900,29.5,20.65,41.3,5.0,0
Day'Ron Sharpe,C,BKN,LAC,5800,29.0,20.3,40.6,5.0,0
Collin Murray-Boyles,PF/C,TOR,BOS,5700,28.5,19.95,39.9,5.0,0
Neemias Queta,C,BOS,TOR,5600,28.0,19.6,39.2,5.0,0
Mark Williams,C,PHO,NY,5600,28.0,19.6,39.2,5.0,0
Noah Clowney,PF,BKN,LAC,5500,27.5,19.25,38.5,5.0,0
Jeremiah Fears,PG/SG,NO,WAS,5500,27.5,19.25,38.5,5.0,0
Ajay Mitchell,PG/SG,OKC,MEM,5500,27.5,19.25,38.5,5.0,0
Bub Carrington,PG,WAS,NO,5500,27.5,19.25,38.5,5.0,0
Royce O'Neale,SF/PF,PHO,NY,5400,27.0,18.9,37.8,5.0,0
Egor Demin,PG/SG,BKN,LAC,5300,26.5,18.55,37.1,5.0,0
Sandro Mamukelashvili,C,TOR,BOS,5300,26.5,18.55,37.1,5.0,0
Tre Johnson,SG/PG,WAS,NO,5200,26.0,18.2,36.4,5.0,0
Jalen Pickett,PG,DEN,ATL,4900,24.5,17.15,34.3,5.0,0
Jock Landale,C,MEM,OKC,4800,24.0,16.8,33.6,5.0,0
Miles McBride,PG/SG,NY,PHO,4800,24.0,16.8,33.6,5.0,0
Kris Dunn,PG/SG,LAC,BKN,4700,23.5,16.45,32.9,5.0,0
Bruce Brown,SF/SG,DEN,ATL,4600,23.0,16.1,32.2,5.0,0
Zeke Nnaji,PF/C,DEN,ATL,4600,23.0,16.1,32.2,5.0,0
Aaron Wiggins,SF/PF,OKC,MEM,4600,23.0,16.1,32.2,5.0,0
Luka Garza,C,BOS,TOR,4500,22.5,15.75,31.5,5.0,0
Tim Hardaway,SF/SG,DEN,ATL,4500,22.5,15.75,31.5,5.0,0
Vit Krejci,SG/SF,ATL,DEN,4400,22.0,15.4,30.8,5.0,0
Christian Braun,SG/SF,DEN,ATL,4300,21.5,15.05,30.1,5.0,0
Luguentz Dort,SF/SG,OKC,MEM,4100,20.5,14.35,28.7,5.0,0
Isaiah Joe,SF/SG,OKC,MEM,3900,19.5,13.65,27.3,5.0,0
Alex Caruso,SF/SG,OKC,MEM,3800,19.0,13.3,26.6,5.0,0
Ja'Kobe Walter,SG,TOR,BOS,3700,18.5,12.95,25.9,5.0,0
Kenrich Williams,PF,OKC,MEM,3600,18.0,12.6,25.2,5.0,0
