name,position,team,opponent,salary,projection,floor,ceiling,value,games_played
Jalen Johnson,PF/SF,ATL,DEN,10700,56.53,34.24,89.97,5.28,16
Tyrese Maxey,PG,PHI,ORL,10500,52.06,29.27,86.24,4.96,11
Jaylen Brown,SF/SG,BOS,TOR,9900,50.69,40.41,66.09,5.12,8
James Harden,PG/SG,LAC,BKN,8800,48.94,23.98,86.36,5.56,14
Karl-Anthony Towns,C/PF,NY,PHO,9200,47.59,34.32,67.48,5.17,9
Jamal Murray,PG/SG,DEN,ATL,10000,44.79,33.17,62.23,4.48,12
Devin Booker,PG/SG,PHO,NY,8700,40.88,31.46,54.99,4.7,14
Derrick White,SG/PG,BOS,TOR,8400,40.5,28.7,54.89,4.82,8
Mikal Bridges,SG/SF,NY,PHO,6700,40.07,33.11,50.5,5.98,9
Michael Porter,PF/SF,BKN,LAC,9300,37.77,15.88,58.74,4.06,9
Ivica Zubac,C,LAC,BKN,6500,36.31,23.55,55.46,5.59,14
Payton Pritchard,PG/SG,BOS,TOR,6900,35.94,27.89,48.01,5.21,8
Onyeka Okongwu,C/PF,ATL,DEN,7400,35.51,16.09,64.65,4.8,16
Nickeil Alexander-Walker,SG/PG,ATL,DEN,7000,35.39,22.01,55.47,5.06,16
Santi Aldama,PF/C,MEM,OKC,6800,34.26,25.83,46.9,5.04,9
Trey Murphy,SF/SG,NO,WAS,7600,33.99,20.85,49.39,4.47,9
Dyson Daniels,SG/PG,ATL,DEN,8100,33.96,18.64,56.95,4.19,16
Immanuel Quickley,PG/SG,TOR,BOS,6500,33.49,27.98,41.76,5.15,12
Dillon Brooks,SF/SG,PHO,NY,5900,32.26,23.34,45.64,5.47,14
Peyton Watson,PF/SF,DEN,ATL,7000,32.1,19.69,50.7,4.59,12
Derik Queen,PF/C,NO,WAS,7000,31.2,16.54,53.21,4.46,16
Collin Gillespie,PG/SG,PHO,NY,6400,30.89,21.04,45.67,4.83,14
Nic Claxton,C,BKN,LAC,6200,30.03,18.48,47.37,4.84,12
Jalen Brunson,PG,NY,PHO,9100,29.87,7.71,50.27,3.28,9
Kyshawn George,SF/SG,WAS,NO,6300,29.67,11.17,54.89,4.71,8
Jeremiah Fears,PG/SG,NO,WAS,5500,28.46,20.03,41.11,5.17,16
RJ Barrett,SG/SF,TOR,BOS,6800,27.96,15.36,41.36,4.11,12
Jaren Jackson,PF/C,MEM,OKC,7500,27.68,9.91,52.8,3.69,7
Zion Williamson,PF,NO,WAS,8500,26.18,5.28,57.53,3.08,16
Ajay Mitchell,PG/SG,OKC,MEM,5500,25.88,15.27,41.8,4.71,13
Noah Clowney,PF,BKN,LAC,5500,25.66,16.26,39.75,4.66,12
Cam Spencer,SG/PG,MEM,OKC,6400,25.16,19.93,32.99,3.93,9
