Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125392-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,51.270270270270274,37,11000,OKC@MEM,OKC,MEM,O,Ankle,,,,PG
125392-157833,PF/SF,Jalen,Jalen Johnson,Johnson,50.214285714285715,35,10700,ATL@DEN,ATL,DEN,,,,,,SF/PF
125392-145331,PG,Tyrese,Tyrese Maxey,Maxey,52.566665187026516,33,10500,PHI@ORL,PHI,ORL,,,,,,PG
125392-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,47.26538555438702,26,10200,LAC@BKN,LAC,BKN,Q,Ankle,,,,SF/PF
125392-66108,PG/SG,Jamal,Jamal Murray,Murray,43.65142996651786,35,10000,ATL@DEN,DEN,ATL,P,Ankle,,,,PG/SG
125392-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.40293974034927,34,9900,TOR@BOS,BOS,TOR,,,,,,SG/SF
125392-171770,PF/SF,Paolo,Paolo Banchero,Banchero,39.649998256138396,28,9800,PHI@ORL,ORL,PHI,,,,,,SF/PF
125392-157822,PF/SF,Scottie,Scottie Barnes,Barnes,42.93947239925987,38,9300,TOR@BOS,TOR,BOS,D,Knee,,,,SF/PF
125392-84682,PF/SF,Michael,Michael Porter,Porter,41.18571254185268,28,9300,LAC@BKN,BKN,LAC,,,,,,SF/PF
125392-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,41.59706025965073,34,9200,NY@PHO,NY,PHO,,,,,,PF/C
125392-84690,PG,Jalen,Jalen Brunson,Brunson,42.5941162109375,34,9100,NY@PHO,NY,PHO,,,,,,PG
125392-49111,C,Joel,Joel Embiid,Embiid,39.638888888888886,18,9000,PHI@ORL,PHI,ORL,P,Knee,,,,C
125392-84671,PG,Trae,Trae Young,Young,35.15,10,8800,NO@WAS,WAS,NO,O,Quadriceps,,,,PG
125392-9644,PG/SG,James,James Harden,Harden,44.36060680042613,33,8800,LAC@BKN,LAC,BKN,,,,,,PG/SG
125392-58460,PG/SG,Devin,Devin Booker,Booker,40.10294117647059,34,8700,NY@PHO,PHO,NY,,,,,,PG/SG
125392-110310,PF,Zion,Zion Williamson,Williamson,37.23913043478261,23,8500,NO@WAS,NO,WAS,,,,,,PF
125392-49675,SG/PG,Derrick,Derrick White,White,38.36285574776786,35,8400,TOR@BOS,BOS,TOR,,,,,,PG/SG
125392-171759,C/PF,Chet,Chet Holmgren,Holmgren,35.827274206912875,33,8200,OKC@MEM,OKC,MEM,O,Lower leg,,,,PF/C
125392-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.13157894736842,38,8100,TOR@BOS,TOR,BOS,O,Thumb,,,,SF/PF
125392-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33.57105134662829,38,8100,ATL@DEN,ATL,DEN,,,,,,PG/SG
125392-171760,SF/PF,Jalen,Jalen Williams,Williams,34.942106548108555,19,7900,OKC@MEM,OKC,MEM,,,,,,SF/PF
125392-110344,PG,Ja,Ja Morant,Morant,34.144443088107636,18,7800,OKC@MEM,MEM,OKC,O,Calf,,,,PG
125392-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,33.74516050277218,31,7800,PHI@ORL,PHI,ORL,,,,,,SG/SF
125392-203764,C/PF,Alex,Alex Sarr,Sarr,38.81481481481482,27,7800,NO@WAS,WAS,NO,,,,,,PF/C
