Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125392-157833,PF/SF,Jalen,Jalen Johnson,Johnson,54.55,35,10700,ATL@DEN,ATL,DEN,,,,,,SF/PF
125392-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,36.52,37,7400,ATL@DEN,ATL,DEN,,,,,,SG/SF
125392-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33.63,38,8100,ATL@DEN,ATL,DEN,,,,,,SF
125392-110356,SG/PG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,33.27,37,7000,ATL@DEN,ATL,DEN,,,,,,PG/SG
125392-145540,SG/SF,Vit,Vit Krejci,Krejci,17.47,35,4400,ATL@DEN,ATL,DEN,,,,,,SG
125392-84682,PF/SF,Michael,Michael Porter,Porter,38.36,28,9300,LAC@BKN,BKN,LAC,,,,,,SG
125392-110354,C,Nic,Nic Claxton,Claxton,28.07,32,6200,LAC@BKN,BKN,LAC,,,,,,SG
125392-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,23.86,33,5800,LAC@BKN,BKN,LAC,,,,,,C
125392-157838,SG,Cam,Cam Thomas,Thomas,23.45,13,6300,LAC@BKN,BKN,LAC,,,,,,SF/PF
125392-188431,PF,Noah,Noah Clowney,Clowney,23,34,5500,LAC@BKN,BKN,LAC,,,,,,PG/SG
125392-228109,PG/SG,Egor,Egor Demin,Demin,23,31,5300,LAC@BKN,BKN,LAC,,,,,,SF
125392-67026,SF/SG,Jaylen,Jaylen Brown,Brown,46,34,9900,TOR@BOS,BOS,TOR,,,,,,SG/SF
125392-49675,SG/PG,Derrick,Derrick White,White,39,35,8400,TOR@BOS,BOS,TOR,,,,,,C
125392-145335,PG/SG,Payton,Payton Pritchard,Pritchard,32.19,36,6900,TOR@BOS,BOS,TOR,,,,,,PF/C
125392-157811,C,Neemias,Neemias Queta,Queta,26.83,34,5600,TOR@BOS,BOS,TOR,,,,,,C
